record_key	sources	pmid	doi	title	decision	primary_reason	full_text_or_code_assessed	freeze_date
doi:10.1200/jco.2026.44.16_suppl.e18042	citation_snowball		10.1200/jco.2026.44.16_suppl.e18042	Integrated expression analysis of microRNA and its associated gene network in thyroid cancer.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.e20537	Semantic_Scholar_top100		10.1200/jco.2026.44.16_suppl.e20537	EIF4B expression in lung squamous cell carcinoma using bulk and single-cell transcriptomic profiling.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2026.44.19_suppl.11	citation_snowball		10.1200/jco.2026.44.19_suppl.11	An integrative multi-omics machine learning framework for precision metastasis prediction and clinical staging in non-small cell lung cancer.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1200/jco.2026.44.19_suppl.239	Semantic_Scholar_top100		10.1200/jco.2026.44.19_suppl.239	SPP1⁺ macrophage influence on differentiation of radioiodine-refractory thyroid cancer through secretion of FABP4.	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.1200/jco.2026.44.19_suppl.267	citation_snowball		10.1200/jco.2026.44.19_suppl.267	TP53–EGFR co-mutation landscape in Indian NSCLC: Decoding the genomic blueprint for targeted therapeutic decisions.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1200/jco.2026.44.19_suppl.73	citation_snowball		10.1200/jco.2026.44.19_suppl.73	The prognostic significance of MYBL1 and MYBL2 genes in low-grade glioma.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/po-26-00029	citation_snowball		10.1200/po-26-00029	Cross-Platform Gene Signature to Predict Survival Outcomes for Nasopharyngeal Carcinoma.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1210/jendso/bvac150.1652	Semantic_Scholar_top100		10.1210/jendso/bvac150.1652	OR11-2 RNA Sequencing Reveals Unique Transcriptomic Signatures of the Thyroid in a Murine Lung Cancer Model Treated with PD-1 and PD-L1 Antibodies	exclude	non_human_or_preclinical_only	no	2026-07-12
doi:10.1210/jendso/bvad114.1921	Semantic_Scholar_top100		10.1210/jendso/bvad114.1921	OR14-05 Taking Advantage Of The Interleukin-6-Biology In Differentiated Thyroid Cancer To Stimulate Sodium Iodide Symporter (NIS)-mediated Iodide Uptake In Engineered Mesenchymal Stem Cells	exclude	non_human_or_preclinical_only	no	2026-07-12
doi:10.1210/jendso/bvae163.1965	Semantic_Scholar_top100		10.1210/jendso/bvae163.1965	6885 Glucose Utilization Differs Between RAS-like and BRAF-like Thyroid Cancer	exclude	no_relevant_radioiodine_construct	no	2026-07-12
